@lovequeen	88,761.256 BLURTSAVINGS	 Voted 16 Witnesses
@lxsxl	79,238.574 BLURT(-20,004.392 BLURT)SAVINGS	 Voted 30 Witnesses
@mahmud	25,315.275 BLURT(-20,026.273 BLURT)SAVINGS	 Voted 3 Witnesses
@mahyulmaulana	2,612.077 BLURTSAVINGS	 Voted 17 Witnesses
@makeitrain	3,564.131 BLURTSAVINGS	 Voted 6 Witnesses
@maskuncoro	97,862.973 BLURT(-15,028.759 BLURT)SAVINGS	 Voted 26 Witnesses
@mato	1,023.011 BLURTSAVINGS	 Voted 7 Witnesses
@maxwellmarcusart	110,616.474 BLURT(-20,605.587 BLURT)SAVINGS	 Voted 8 Witnesses
@mdriart	2,854.149 BLURTSAVINGS	 Voted 6 Witnesses
@megadrive	6,963,256.494 BLURT(-6,133,738.059 BLURT)SAVINGS	 Voted 16 Witnesses
@meins0	63,909.277 BLURT(-27,292.285 BLURT)SAVINGS	 Voted 26 Witnesses
@merit.ahama	163.338 BLURTSAVINGS	 Voted 7 Witnesses
@midung9	163.001 BLURTSAVINGS	 Voted 7 Witnesses
@nazirhussain	42,045.564 BLURT(+5,086.960 BLURT)SAVINGS	 Voted 16 Witnesses
@nevlu	76,690.232 BLURT(-76,591.608 BLURT)SAVINGS	 Voted 30 Witnesses
@newparadigmtt	55,882.564 BLURT(-6,898.617 BLURT)SAVINGS	 Voted 21 Witnesses
@niazimainwali	2,779.877 BLURT(+25,141.430 BLURT)SAVINGS	 Voted 2 Witnesses
@nichinfc	0.000 BLURTSAVINGS	 Voted 1 Witnesses
@nitin	1,192.699 BLURT(-856.283 BLURT)SAVINGS	 Voted 30 Witnesses
@nutrigamer	315.078 BLURTSAVINGS	 Voted 5 Witnesses
@nwakudo-miracle	1,730.095 BLURTSAVINGS	 Voted 17 Witnesses
@oadissin	45,311.325 BLURT(-44,934.443 BLURT)SAVINGS	 Voted 15 Witnesses
@olawalium	16,852.439 BLURTSAVINGS	 Voted 30 Witnesses
@ollasysartenes	12,527.276 BLURT(-72.187 BLURT)SAVINGS	 Voted 23 Witnesses
@onchain-curator	5,057.278 BLURT(+47,438.370 BLURT)SAVINGS	 Voted 17 Witnesses
